Date,^AXJO
2016-02-03,4980.39990234375
2016-02-04,4976.2001953125
2016-02-07,4975.39990234375
2016-02-08,4832.10009765625
2016-02-09,4775.7001953125
2016-02-10,4821.10009765625
2016-02-11,4765.2998046875
2016-02-14,4843.5
2016-02-15,4910.0
2016-02-16,4882.10009765625
2016-02-17,4992.0
2016-02-18,4952.7998046875
2016-02-21,5001.2001953125
2016-02-22,4979.60009765625
2016-02-23,4875.0
2016-02-24,4881.2001953125
2016-02-25,4880.0
2016-02-28,4880.89990234375
2016-02-29,4922.2998046875
2016-03-01,5021.2001953125
2016-03-02,5081.10009765625
2016-03-03,5090.0
2016-03-06,5142.7998046875
2016-03-07,5108.0
2016-03-08,5157.2001953125
2016-03-09,5150.10009765625
2016-03-10,5166.39990234375
2016-03-13,5185.5
2016-03-14,5111.39990234375
2016-03-15,5119.0
2016-03-16,5168.2001953125
2016-03-17,5183.10009765625
2016-03-20,5166.60009765625
2016-03-21,5166.60009765625
2016-03-22,5142.2998046875
2016-03-23,5084.2001953125
2016-03-28,5004.5
2016-03-29,5010.2998046875
2016-03-30,5082.7998046875
2016-03-31,4999.39990234375
2016-04-04,4995.2998046875
2016-04-05,4924.39990234375
2016-04-06,4945.89990234375
2016-04-07,4964.10009765625
2016-04-08,4937.60009765625
2016-04-11,4931.5
2016-04-12,4975.60009765625
2016-04-13,5054.7001953125
2016-04-14,5118.60009765625
2016-04-15,5157.5
2016-04-18,5137.10009765625
2016-04-19,5188.7998046875
2016-04-20,5216.0
2016-04-21,5272.7001953125
2016-04-22,5236.39990234375
2016-04-26,5220.60009765625
2016-04-27,5187.7001953125
2016-04-28,5225.39990234375
2016-04-29,5252.2001953125
2016-05-02,5243.0
2016-05-03,5353.7998046875
2016-05-04,5271.10009765625
2016-05-05,5279.10009765625
2016-05-06,5292.0
2016-05-09,5320.7001953125
2016-05-10,5342.7998046875
2016-05-11,5372.2998046875
2016-05-12,5359.2998046875
2016-05-13,5329.0
2016-05-16,5358.89990234375
2016-05-17,5395.89990234375
2016-05-18,5356.2001953125
2016-05-19,5323.2998046875
2016-05-20,5351.2998046875
2016-05-23,5318.89990234375
2016-05-24,5295.60009765625
2016-05-25,5372.5
2016-05-26,5388.10009765625
2016-05-27,5405.89990234375
2016-05-30,5408.0
2016-05-31,5378.60009765625
2016-06-01,5323.2001953125
2016-06-02,5278.89990234375
2016-06-03,5318.89990234375
2016-06-06,5360.39990234375
2016-06-07,5371.0
2016-06-08,5370.0
2016-06-09,5361.89990234375
2016-06-10,5312.60009765625
2016-06-14,5203.2998046875
2016-06-15,5147.10009765625
2016-06-16,5146.0
2016-06-17,5162.7001953125
2016-06-20,5256.7998046875
2016-06-21,5274.39990234375
2016-06-22,5270.89990234375
2016-06-23,5280.7001953125
2016-06-24,5113.2001953125
2016-06-27,5137.2001953125
2016-06-28,5103.2998046875
2016-06-29,5142.39990234375
2016-06-30,5233.39990234375
2016-07-01,5246.60009765625
2016-07-04,5281.7998046875
2016-07-05,5228.0
2016-07-06,5197.5
2016-07-07,5227.89990234375
2016-07-08,5230.5
2016-07-11,5337.10009765625
2016-07-12,5353.2001953125
2016-07-13,5388.5
2016-07-14,5411.60009765625
2016-07-15,5429.60009765625
2016-07-18,5458.5
2016-07-19,5451.2998046875
2016-07-20,5488.7001953125
2016-07-21,5512.39990234375
2016-07-22,5498.2001953125
2016-07-25,5533.60009765625
2016-07-26,5537.5
2016-07-27,5539.7001953125
2016-07-28,5556.60009765625
2016-07-29,5562.2998046875
2016-08-01,5587.39990234375
2016-08-02,5540.5
2016-08-03,5465.7001953125
2016-08-04,5475.7998046875
2016-08-05,5497.39990234375
2016-08-08,5537.7998046875
2016-08-09,5552.5
2016-08-10,5543.7001953125
2016-08-11,5508.0
2016-08-12,5530.89990234375
2016-08-15,5540.0
2016-08-16,5532.0
2016-08-17,5535.0
2016-08-18,5507.7998046875
2016-08-19,5526.7001953125
2016-08-22,5515.10009765625
2016-08-23,5553.7998046875
2016-08-24,5561.7001953125
2016-08-25,5541.89990234375
2016-08-26,5515.5
2016-08-29,5469.2001953125
2016-08-30,5478.2998046875
2016-08-31,5433.0
2016-09-01,5415.60009765625
2016-09-02,5372.7998046875
2016-09-05,5429.60009765625
2016-09-06,5413.60009765625
2016-09-07,5424.2001953125
2016-09-08,5385.7998046875
2016-09-09,5339.2001953125
2016-09-12,5219.60009765625
2016-09-13,5207.7998046875
2016-09-14,5227.7001953125
