Date,^STOXX50E
2015-12-17,3306.469970703125
2015-12-18,3260.72998046875
2015-12-21,3213.010009765625
2015-12-22,3214.320068359375
2015-12-23,3286.679931640625
2015-12-28,3256.489990234375
2015-12-29,3314.280029296875
2015-12-30,3287.97998046875
2016-01-04,3164.760009765625
2016-01-05,3178.010009765625
2016-01-06,3139.320068359375
2016-01-07,3084.679931640625
2016-01-08,3033.469970703125
2016-01-11,3027.489990234375
2016-01-12,3064.659912109375
2016-01-13,3073.02001953125
2016-01-14,3024.0
2016-01-15,2952.47998046875
2016-01-18,2935.389892578125
2016-01-19,2980.489990234375
2016-01-20,2882.590087890625
2016-01-21,2943.919921875
2016-01-22,3023.2099609375
2016-01-25,3001.780029296875
2016-01-26,3032.840087890625
2016-01-27,3043.469970703125
2016-01-28,2979.419921875
2016-01-29,3045.090087890625
2016-02-01,3021.010009765625
2016-02-02,2951.85009765625
2016-02-03,2896.6298828125
2016-02-04,2905.300048828125
2016-02-05,2879.389892578125
2016-02-08,2785.169921875
2016-02-09,2736.5
2016-02-10,2789.050048828125
2016-02-11,2680.35009765625
2016-02-12,2756.159912109375
2016-02-15,2833.860107421875
2016-02-16,2821.260009765625
2016-02-17,2897.719970703125
2016-02-18,2895.14990234375
2016-02-19,2871.050048828125
2016-02-22,2933.909912109375
2016-02-23,2887.3798828125
2016-02-24,2820.239990234375
2016-02-25,2877.419921875
2016-02-26,2929.159912109375
2016-02-29,2945.75
2016-03-01,2996.389892578125
2016-03-02,3022.139892578125
2016-03-03,3012.8701171875
2016-03-04,3037.35009765625
2016-03-07,3021.090087890625
2016-03-08,3002.010009765625
2016-03-09,3016.179931640625
2016-03-10,2970.780029296875
2016-03-11,3073.800048828125
2016-03-14,3091.97998046875
2016-03-15,3067.2099609375
2016-03-16,3062.050048828125
2016-03-17,3043.10009765625
2016-03-18,3059.77001953125
2016-03-21,3048.77001953125
2016-03-23,3042.419921875
2016-03-24,2986.72998046875
2016-03-29,3004.8701171875
2016-03-30,3044.10009765625
2016-03-31,3004.929931640625
2016-04-01,2953.280029296875
2016-04-04,2962.280029296875
2016-04-06,2909.360107421875
2016-04-07,2871.570068359375
2016-04-08,2911.97998046875
2016-04-11,2924.22998046875
2016-04-12,2942.090087890625
2016-04-14,3060.860107421875
2016-04-15,3054.340087890625
2016-04-18,3064.030029296875
2016-04-19,3112.989990234375
2016-04-20,3142.52001953125
2016-04-21,3151.68994140625
2016-04-22,3141.1201171875
2016-04-26,3121.2900390625
2016-04-27,3130.429931640625
2016-04-28,3125.429931640625
2016-04-29,3028.2099609375
2016-05-02,3032.60009765625
2016-05-03,2974.199951171875
2016-05-04,2938.75
2016-05-06,2936.840087890625
2016-05-09,2955.830078125
2016-05-10,2978.969970703125
2016-05-11,2956.7099609375
2016-05-12,2935.4599609375
2016-05-13,2956.6298828125
2016-05-17,2938.090087890625
2016-05-18,2956.429931640625
2016-05-19,2919.219970703125
2016-05-20,2962.159912109375
2016-05-23,2932.929931640625
2016-05-24,3010.1201171875
2016-05-25,3061.60009765625
2016-05-26,3071.2099609375
2016-05-27,3078.47998046875
2016-05-30,3090.010009765625
2016-05-31,3063.47998046875
2016-06-01,3038.77001953125
2016-06-02,3033.860107421875
2016-06-03,2997.550048828125
2016-06-06,3001.89990234375
2016-06-07,3040.68994140625
2016-06-08,3019.760009765625
2016-06-09,2989.030029296875
2016-06-10,2911.110107421875
2016-06-13,2853.52001953125
2016-06-14,2797.179931640625
2016-06-15,2830.300048828125
2016-06-16,2819.300048828125
2016-06-17,2849.169921875
2016-06-20,2942.8798828125
2016-06-21,2967.340087890625
2016-06-22,2978.31005859375
2016-06-23,3037.860107421875
2016-06-24,2776.090087890625
2016-06-27,2697.43994140625
2016-06-29,2832.179931640625
2016-06-30,2864.739990234375
2016-07-01,2883.06005859375
2016-07-04,2862.2099609375
2016-07-05,2812.8798828125
2016-07-06,2761.3701171875
2016-07-07,2780.10009765625
2016-07-08,2838.010009765625
2016-07-11,2885.320068359375
2016-07-12,2933.43994140625
2016-07-13,2926.139892578125
2016-07-14,2963.070068359375
2016-07-15,2958.64990234375
2016-07-18,2949.169921875
2016-07-19,2931.10009765625
2016-07-20,2966.949951171875
2016-07-21,2968.489990234375
2016-07-22,2972.22998046875
2016-07-25,2973.219970703125
2016-07-26,2978.89990234375
2016-07-27,2999.47998046875
2016-07-28,2966.10009765625
2016-07-29,2990.760009765625
2016-08-02,2906.97998046875
2016-08-03,2911.06005859375
2016-08-04,2932.340087890625
2016-08-05,2973.7099609375
2016-08-08,2982.919921875
2016-08-09,3029.179931640625
2016-08-10,3018.4599609375
2016-08-11,3049.030029296875
2016-08-12,3044.93994140625
2016-08-15,3046.64990234375
2016-08-16,3016.199951171875
2016-08-17,2980.5400390625
2016-08-18,2995.300048828125
2016-08-19,2968.199951171875
2016-08-22,2960.3701171875
2016-08-23,2993.72998046875
2016-08-24,3008.590087890625
2016-08-25,2987.68994140625
2016-08-26,3010.360107421875
2016-08-29,2998.5
2016-08-30,3030.75
2016-08-31,3023.1298828125
2016-09-01,3017.489990234375
2016-09-02,3079.739990234375
2016-09-05,3077.659912109375
2016-09-06,3070.159912109375
2016-09-07,3091.659912109375
2016-09-08,3083.5400390625
2016-09-09,3053.199951171875
2016-09-12,3012.8798828125
2016-09-13,2974.800048828125
2016-09-14,2964.89990234375
2016-09-15,2973.77001953125
2016-09-16,2935.25
2016-09-19,2968.31005859375
2016-09-20,2964.860107421875
2016-09-21,2982.179931640625
2016-09-22,3051.68994140625
2016-09-23,3032.31005859375
2016-09-26,2975.8798828125
2016-09-27,2970.840087890625
2016-09-28,2991.110107421875
2016-09-29,2991.580078125
2016-09-30,3002.239990234375
2016-10-03,2998.5
2016-10-04,3029.5
2016-10-05,3026.280029296875
2016-10-06,3021.580078125
2016-10-07,3000.570068359375
2016-10-10,3035.760009765625
2016-10-11,3020.68994140625
2016-10-12,3008.030029296875
2016-10-13,2975.0400390625
2016-10-14,3025.18994140625
2016-10-17,3008.719970703125
2016-10-18,3046.989990234375
2016-10-19,3055.93994140625
2016-10-20,3076.6298828125
2016-10-21,3077.64990234375
2016-10-24,3093.860107421875
2016-10-25,3087.409912109375
2016-10-26,3080.97998046875
2016-10-27,3085.169921875
2016-10-28,3079.239990234375
2016-10-31,3055.25
2016-11-01,3023.14990234375
2016-11-02,2980.169921875
2016-11-03,2973.489990234375
2016-11-04,2954.530029296875
2016-11-07,3009.280029296875
2016-11-08,3023.429931640625
2016-11-09,3056.2900390625
2016-11-10,3046.590087890625
2016-11-11,3030.02001953125
2016-11-14,3039.800048828125
2016-11-15,3049.719970703125
2016-11-16,3026.360107421875
2016-11-17,3041.7900390625
2016-11-18,3020.830078125
2016-11-21,3032.969970703125
2016-11-22,3044.330078125
2016-11-23,3032.14990234375
2016-11-24,3040.60009765625
2016-11-25,3048.3798828125
2016-11-28,3016.800048828125
2016-11-29,3038.419921875
2016-11-30,3051.610107421875
2016-12-01,3030.97998046875
2016-12-02,3015.1298828125
2016-12-05,3052.75
2016-12-06,3100.760009765625
2016-12-07,3142.239990234375
2016-12-08,3185.7900390625
2016-12-09,3197.5400390625
2016-12-12,3199.110107421875
2016-12-13,3236.7099609375
2016-12-14,3211.7099609375
2016-12-15,3249.739990234375
2016-12-16,3259.239990234375
2016-12-19,3257.85009765625
2016-12-20,3279.409912109375
2016-12-21,3270.75
2016-12-22,3269.510009765625
2016-12-23,3273.969970703125
2016-12-27,3278.530029296875
2016-12-28,3278.719970703125
2016-12-29,3271.760009765625
2016-12-30,3290.52001953125
2017-01-03,3315.02001953125
2017-01-04,3317.52001953125
2017-01-05,3316.469970703125
2017-01-06,3321.169921875
2017-01-09,3308.969970703125
2017-01-10,3306.2099609375
2017-01-11,3307.93994140625
2017-01-12,3286.699951171875
2017-01-13,3324.340087890625
2017-01-16,3294.530029296875
2017-01-17,3285.0400390625
2017-01-18,3294.0
2017-01-19,3290.330078125
